;Model;2017;2018;2019;2020;2021;2022;AccelSec;TopSpeed_KmH;Range_Km;Efficiency_WhKm;Seats;PriceEuro;FastCharge_KmH;RapidCharge;PowerTrain;PlugType;BodyStyle;Segment
0;180SX;0.0;0.0;0.0;0.0;1.0;0.0;8.57;155.86;290.0;187.9;5.0;43847.14;420;Yes;FWD;Type 2 CCS;Hatchback;B
1;Ampera-e;1978.0;2381.0;2211.0;2764.0;112.0;0.0;7.3;150.0;335.0;173.0;5.0;41906.0;210;Yes;FWD;Type 2 CCS;MPV;B
2;EQA;0.0;0.0;0.0;37.0;22248.0;29485.0;5.0;200.0;350.0;171.0;5.0;45000.0;440;Yes;AWD;Type 2 CCS;SUV;C
3;Fox/Cross Fox;42716.0;39211.0;38484.0;20381.0;17933.0;0.0;6.1;200.0;317.5;198.5;4.5;93711.0;380;Yes;FWD;Type 2 CCS;SUV;B
4;Go+;14481.0;10525.0;5611.0;1140.0;615.0;0.0;9.6;150.0;190.0;168.0;5.0;31900.0;220;Yes;FWD;Type 2 CCS;Hatchback;C
5;ID.3;0.0;0.0;0.0;55821.0;75355.0;79217.0;8.3;160.0;348.0;170.0;4.8;35699.6;250;Yes;RWD;Type 2 CCS;Hatchback;C
6;ID.4 CROZZ;0.0;0.0;0.0;0.0;26853.0;45528.0;7.5;160.0;420.0;183.0;5.0;45000.0;560;Yes;RWD;Type 2 CCS;SUV;C
7;Kadett;0.0;0.0;0.0;0.0;0.0;0.0;22.4;130.0;160.0;194.0;5.0;38000.0;-;No;FWD;Type 2;SPV;N
8;Kona;33402.0;196183.0;277051.0;290725.0;268921.0;221319.0;8.9;161.0;327.5;157.0;5.0;37383.0;380;Yes;FWD;Type 2 CCS;SUV;B
9;Leaf;45914.0;85172.0;68204.0;53833.0;61896.0;55571.0;7.6;150.5;272.5;168.0;5.0;33235.5;230;Yes;FWD;Type 2 CHAdeMO;Hatchback;C
10;Model 3;1771.0;145918.0;251953.0;352353.0;564987.0;600211.0;4.53;239.67;398.33;160.33;5.0;54446.67;940;Yes;AWD;Type 2 CCS;Sedan;D
11;Model S;43656.0;42750.0;23180.0;18936.0;15448.0;38151.0;3.15;255.5;510.0;186.0;5.0;88490.0;560;Yes;AWD;Type 2;Liftback;F
12;Model X;35334.0;38054.0;27841.0;15305.0;20106.0;27484.0;3.7;250.0;445.0;213.5;7.0;94490.0;490;Yes;AWD;Type 2;SUV;F
13;Model Y;0.0;0.0;0.0;70527.0;435074.0;864763.0;4.4;229.0;417.5;174.0;7.0;62120.0;930;Yes;AWD;Type 2 CCS;SUV;D
14;Mokka/Mokka X;0.0;0.0;0.0;0.0;996.0;1686.0;8.5;150.0;255.0;176.0;5.0;35000.0;390;Yes;FWD;Type 2 CCS;SUV;B
15;Mustang Mach-E;0.0;0.0;0.0;491.0;55180.0;78502.0;6.4;180.0;395.0;202.25;5.0;54568.75;430;Yes;RWD;Type 2 CCS;SUV;D
16;Soul;165045.0;158010.0;149854.0;106877.0;104573.0;77527.0;8.57;163.67;320.0;173.33;5.0;35602.33;340;Yes;FWD;Type 2 CCS;SUV;B
17;i-MiEV;694.0;447.0;280.0;134.0;28.0;11.0;7.12;184.68;342.4;191.04;4.64;60089.92;620;Yes;AWD;Type 2 CCS;Liftback;D
18;iX3;0.0;0.0;0.0;71.0;15313.0;81744.0;6.8;180.0;360.0;206.0;5.0;68040.0;560;Yes;RWD;Type 2 CCS;SUV;D
