;Country;Type_Vehicle;year;Sells;Fast Charging Point;Slow Charging Point
0;Australia;Electric;2017;120;213;2061
1;Australia;Hybrid;2017;1863;213;2061
2;Austria;Electric;2017;5484;2469;15539
3;Austria;Hybrid;2017;7429;2469;15539
4;Belgium;Electric;2017;2754;417;2955
5;Belgium;Hybrid;2017;19990;417;2955
6;Brazil;Electric;2017;2;0;1768
7;Brazil;Hybrid;2017;2405;0;1768
8;Canada;Electric;2017;6661;678;8124
9;Canada;Hybrid;2017;13650;678;8124
10;China;Electric;2017;51217;118966;228608
11;China;Hybrid;2017;179172;118966;228608
12;Denmark;Electric;2017;601;383;8417
13;Denmark;Hybrid;2017;928;383;8417
14;Finland;Electric;2017;446;213;1797
15;Finland;Hybrid;2017;3997;213;1797
16;France;Electric;2017;29266;1035;23723
17;France;Hybrid;2017;71856;1035;23723
18;Germany;Electric;2017;21293;1479;16177
19;Germany;Hybrid;2017;70318;1479;16177
20;Greece;Electric;2017;34;9;65
21;Greece;Hybrid;2017;18;9;65
22;India;Electric;2017;0;135;1244
23;India;Hybrid;2017;812;135;1244
24;Indonesia;Electric;2017;0;127;143
25;Indonesia;Hybrid;2017;7;127;143
26;Israel;Electric;2017;126;247;1784
27;Israel;Hybrid;2017;12677;247;1784
28;Italy;Electric;2017;1899;395;8501
29;Italy;Hybrid;2017;56974;395;8501
30;Japan;Electric;2017;17441;8755;62080
31;Japan;Hybrid;2017;1126882;8755;62080
32;Korea;Electric;2017;11527;7270;14368
33;Korea;Hybrid;2017;83618;7270;14368
34;Mexico;Electric;2017;160;74;1007
35;Mexico;Hybrid;2017;8712;74;1007
36;Netherlands;Electric;2017;6919;505;34604
37;Netherlands;Hybrid;2017;18090;505;34604
38;New Zealand;Electric;2017;244;500;356
39;Norway;Electric;2017;30997;983;20445
40;Norway;Hybrid;2017;27777;983;20445
41;Poland;Electric;2017;459;129;939
42;Poland;Hybrid;2017;1252;129;939
43;Portugal;Electric;2017;1579;174;6203
44;Portugal;Hybrid;2017;6647;174;6203
45;South Africa;Electric;2017;135;186;462
46;South Africa;Hybrid;2017;134;186;462
47;Spain;Electric;2017;3412;1026;6019
48;Spain;Hybrid;2017;50875;1026;6019
49;Sweden;Electric;2017;4480;4463;3412
50;Sweden;Hybrid;2017;28631;4463;3412
51;Switzerland;Electric;2017;4310;514;5327
52;Switzerland;Hybrid;2017;1364;514;5327
53;Thailand;Electric;2017;0;44;463
54;Thailand;Hybrid;2017;0;44;463
55;USA;Electric;2017;103943;16520;41969
56;USA;Hybrid;2017;441723;16520;41969
57;Australia;Electric;2018;163;201;2225
58;Australia;Hybrid;2018;1568;201;2225
59;Austria;Electric;2018;6963;2821;16425
60;Austria;Hybrid;2018;7288;2821;16425
61;Belgium;Electric;2018;3441;419;3925
62;Belgium;Hybrid;2018;19112;419;3925
63;Brazil;Electric;2018;0;0;2115
64;Brazil;Hybrid;2018;2675;0;2115
65;Canada;Electric;2018;18401;846;9665
66;Canada;Hybrid;2018;18365;846;9665
67;China;Electric;2018;116859;143341;243457
68;China;Hybrid;2018;343661;143341;243457
69;Denmark;Electric;2018;1339;402;7821
70;Denmark;Hybrid;2018;2207;402;7821
71;Finland;Electric;2018;572;283;1625
72;Finland;Hybrid;2018;6484;283;1625
73;France;Electric;2018;37551;1732;26079
74;France;Hybrid;2018;88809;1732;26079
75;Germany;Electric;2018;29631;2572;22966
76;Germany;Hybrid;2018;75065;2572;22966
77;Greece;Electric;2018;37;18;65
78;Greece;Hybrid;2018;27;18;65
79;India;Electric;2018;0;121;1169
80;India;Hybrid;2018;334;121;1169
81;Indonesia;Electric;2018;0;140;149
82;Indonesia;Hybrid;2018;13;140;149
83;Israel;Electric;2018;164;262;2369
84;Israel;Hybrid;2018;17902;262;2369
85;Italy;Electric;2018;3742;574;7923
86;Italy;Hybrid;2018;65428;574;7923
87;Japan;Electric;2018;26127;8929;55628
88;Japan;Hybrid;2018;1117336;8929;55628
89;Korea;Electric;2018;28397;8663;25639
90;Korea;Hybrid;2018;92201;8663;25639
91;Mexico;Electric;2018;145;99;1383
92;Mexico;Hybrid;2018;14252;99;1383
93;Netherlands;Electric;2018;18711;902;37541
94;Netherlands;Hybrid;2018;22259;902;37541
95;New Zealand;Electric;2018;254;546;423
96;Norway;Electric;2018;44768;1260;20313
97;Norway;Hybrid;2018;34539;1260;20313
98;Poland;Electric;2018;545;295;949
99;Poland;Hybrid;2018;1401;295;949
100;Portugal;Electric;2018;3712;203;5907
101;Portugal;Hybrid;2018;9322;203;5907
102;South Africa;Electric;2018;62;229;470
103;South Africa;Hybrid;2018;69;229;470
104;Spain;Electric;2018;4446;965;5820
105;Spain;Hybrid;2018;67797;965;5820
106;Sweden;Electric;2018;6412;4020;5514
