Group;Maker/Brand;Segment;Model;PowerTrain;Country;2017;2018;2019;2020;2021;2022
VW Group;JETTA;C;JETTA VA3;ICE;China;-;-;-;-;54,763;48,659
VW Group;JETTA;C;JETTA VA3;N/A;China;-;-;12,384;42,376;-;-
VW Group;JETTA;C;Jetta;ICE;China;-;-;-;-;-;-3
VW Group;JETTA;C;Jetta;N/A;China;-;-;-;0;-3;-
VW Group;JETTA;SUV-C;JETTA VS5;ICE;China;-;-;-;-;82,809;71,846
VW Group;JETTA;SUV-C;JETTA VS5;N/A;China;-;-;36,705;81,077;-;-
VW Group;JETTA;SUV-D;JETTA VS7;ICE;China;-;-;-;-;40,528;28,395
VW Group;JETTA;SUV-D;JETTA VS7;N/A;China;-;-;-;37,058;-;-
VW Group;VW/MAN (TRATON);Unclassified;N/A;N/A;Brazil;-;-;-;29,851;41,157;39,181
VW Group;VW;A;Cross Fox;N/A;Argentina;452;-;-;-;-;-
VW Group;VW;A;Cross Fox;N/A;Colombia;616;-;-;-;1;-
VW Group;VW;A;Fox/Cross Fox;N/A;Brazil;42,716;39,211;38,484;20,381;17,933;-
VW Group;VW;A;Lupo/Fox;N/A;Mexico;1,499;97;-;-;-;-
VW Group;VW;A;Lupo/Fox;N/A;Brazil;2,021;5,573;1,749;6;4;2
VW Group;VW;A;Lupo/Fox;N/A;Argentina;6,137;2,072;1,667;1,184;1;-
VW Group;VW;A;Lupo/Fox;N/A;Colombia;-;-;-;-;-;1
VW Group;VW;A;up!;EV;Germany;1,078;1,256;817;10,839;30,797;13,238
VW Group;VW;A;up!;EV;France;252;234;167;2,420;1,621;1,723
VW Group;VW;A;up!;EV;Spain;14;-;-;-;116;-
VW Group;VW;A;up!;EV;Italy;55;69;9;2,217;2,347;585
VW Group;VW;A;up!;EV;Portugal;20;14;2;51;38;-
VW Group;VW;A;up!;EV;UK;21;27;6;251;1,389;997
VW Group;VW;A;up!;EV;Belgium;7;-;-;-;-;-
VW Group;VW;A;up!;EV;Netherlands;76;114;183;119;247;18
VW Group;VW;A;up!;EV;Austria;109;72;3;376;492;4
VW Group;VW;A;up!;EV;Sweden;107;44;81;579;191;-
VW Group;VW;A;up!;EV;Norway;866;629;769;1,548;959;58
VW Group;VW;A;up!;EV;Finland;2;1;-;-;237;102
VW Group;VW;A;up!;EV;Greece;-;-;9;31;9;5
VW Group;VW;A;up!;EV;Czech Republic;-;-;-;-;-;45
VW Group;VW;A;up!;EV;Slovakia;-;-;-;283;162;80
VW Group;VW;A;up!;EV;Slovenia;-;-;1;137;12;-
VW Group;VW;A;up!;ICE;Germany;-;-;-;-;-;10,231
VW Group;VW;A;up!;ICE;France;-;-;-;-;-;1,242
VW Group;VW;A;up!;ICE;Spain;-;-;-;-;-;3
VW Group;VW;A;up!;ICE;Italy;-;-;-;-;-;4,463
VW Group;VW;A;up!;ICE;Portugal;-;-;-;-;-;76
VW Group;VW;A;up!;ICE;UK;-;-;-;-;-;2,436
VW Group;VW;A;up!;ICE;Belgium;-;-;-;-;-;235
VW Group;VW;A;up!;ICE;Netherlands;-;-;-;-;-;1,206
VW Group;VW;A;up!;ICE;Austria;-;-;-;-;-;175
VW Group;VW;A;up!;ICE;Greece;-;-;-;-;-;144
VW Group;VW;A;up!;ICE;Czech Republic;-;-;-;-;-;246
VW Group;VW;A;up!;ICE;Bulgaria;-;-;-;-;-;67
VW Group;VW;A;up!;N/A;Mexico;2,507;614;42;-;-;-
VW Group;VW;A;up!;N/A;Brazil;34,161;20,563;13,460;6,924;1,978;16
VW Group;VW;A;up!;N/A;Argentina;16,390;17,176;7,494;2,503;424;4
VW Group;VW;A;up!;N/A;Germany;35,607;34,145;28,165;16,033;15,911;-
VW Group;VW;A;up!;N/A;France;4,588;5,410;4,631;1,901;1,850;-
VW Group;VW;A;up!;N/A;Spain;523;154;89;489;-;-
VW Group;VW;A;up!;N/A;Italy;16,152;18,156;17,457;9,039;8,426;-
VW Group;VW;A;up!;N/A;Portugal;1,337;891;738;142;87;-
VW Group;VW;A;up!;N/A;UK;13,534;13,197;8,459;3,308;3,135;-
VW Group;VW;A;up!;N/A;Ireland;258;241;237;2;-;-
VW Group;VW;A;up!;N/A;Belgium;1,181;1,010;773;622;338;-
VW Group;VW;A;up!;N/A;Netherlands;10,775;9,909;6,919;3,581;2,698;-
VW Group;VW;A;up!;N/A;Austria;912;1,010;742;325;275;-
VW Group;VW;A;up!;N/A;Switzerland;618;481;421;421;893;381
VW Group;VW;A;up!;N/A;Sweden;331;219;102;0;-;-
VW Group;VW;A;up!;N/A;Norway;336;250;100;7;-;-
VW Group;VW;A;up!;N/A;Finland;126;190;82;357;-;-
VW Group;VW;A;up!;N/A;Denmark;7,232;4,957;3,896;2,390;983;365
VW Group;VW;A;up!;N/A;Greece;1,095;954;710;75;177;-
VW Group;VW;A;up!;N/A;Poland;1,920;2,659;2,073;630;374;342
VW Group;VW;A;up!;N/A;Czech Republic;364;265;199;91;168;-
VW Group;VW;A;up!;N/A;Slovakia;289;272;189;1;-;-
VW Group;VW;A;up!;N/A;Romania;381;405;503;273;514;514
VW Group;VW;A;up!;N/A;Slovenia;400;352;328;99;37;-
VW Group;VW;A;up!;N/A;Estonia;5;5;1;18;1;-
VW Group;VW;A;up!;N/A;South Africa;2,758;1,983;1,502;388;-;-
VW Group;VW;B;Ameo;N/A;India;17,526;9,841;6,704;173;-;-
VW Group;VW;B;Gol;N/A;Mexico;26,867;13,054;10,249;7,621;712;-
VW Group;VW;B;Gol;N/A;Brazil;73,919;77,612;81,285;71,151;66,228;72,606
